[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT * FROM `mis_system_panel_desing_role` WHERE ( mis_system_panel_desing_role.status = 1 ) AND ( mis_system_panel_desing_role.objtype = 2 )  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:221，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() MisSystemPanelDesingMasModel.class.php 第 223 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `rolegroup_user` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:221，运行时间:0.0043s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `rolegroup_user` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:221，运行时间:0.0043s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT * FROM `rolegroup_user` WHERE user_id!='' and user_id is not null ORDER BY user_id  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:236，运行时间:0.0005s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT * FROM `rolegroup_user` WHERE user_id!='' and user_id is not null ORDER BY user_id  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:236，运行时间:0.0005s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() MisSystemPanelDesingMasModel.class.php 第 237 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `user` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:236，运行时间:0.0008s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `user` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:236，运行时间:0.0008s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT * FROM `user` WHERE status=1  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:244，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT * FROM `user` WHERE status=1  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisSystemPanelDesingMasModel.class.php，行号:244，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: 1 MisSystemPanelDesingMasModel.class.php 第 262 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() MisSystemPanelDesingMasModel.class.php 第 262 行.
